"","NO.","url","Coding.combination"
"51",51,"http://www.business-standard.com/india/news/states-to-get-%5Cgreen%5C-bonus-for-forest-cover/369294/","IP, IA2, ID2, IT4"
"52",52,"http://www.guardian.co.uk/environment/2009/sep/01/sermilik-fjord-greenland-global-warming","S, A6, D1, T7"
"53",53,"http://www.business-standard.com/india/news/united-nations-climate-fund-hits-roadblock/369427/","GP, IA2, IT8"
"54",54,"http://www.financialexpress.com/news/climate-change-threatens-food-security-in-s-asia/514044/","S, A6, D6, T1"
"55",55,"http://www.hindu.com/br/2009/09/08/stories/2009090850141300.htm","BZ, IA2, IT6"
"56",56,"http://timesofindia.indiatimes.com/news/world/rest-of-world/Broke-Maldives-cant-send-prez-to-climate-meet/articleshow/4988060.cms","GP, A1, D2, T1"
"57",57,"http://www.thehindubusinessline.com/2009/09/09/stories/2009090951731500.htm","GP, IA2, D5, IT2"
"58",58,"http://www.financialexpress.com/news/copenhagen-meet-hinges-on-cdm-tech-transfer-ramesh/514673/","GP, IA2, ID2, IT2"
"59",59,"http://www.financialexpress.com/news/climate-change-mitigation-offers-growth-chances/514589/0","GP, IA2, D4, IT2"
"60",60,"http://timesofindia.indiatimes.com/news/india/Surging-Indian-eco-will-still-be-among-worlds-greenest/articleshow/4993040.cms","IP, IA2, ID6, IT9"
"61",61,"http://www.hindustantimes.com/News/features/McKinsey-offers-costly-recipe-for-green-growth/Article1-452018.aspx","IP, IA2, IT6"
"62",62,"http://www.hindu.com/2009/09/10/stories/2009091056021200.htm","GP, IA2, D2, IT2"
"63",63,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=6&pagesize=&edid=&edlabel=ETD&mydateHid=10-09-2009&pubname=&edname=&publabel=ET","IP, IA2, IT6"
"64",64,"http://economictimes.indiatimes.com/articleshow/4992621.cms?flstry=1","IP, IA4, IT2"
"65",65,"http://economictimes.indiatimes.com/Environment/articleshow/4990324.cms","S, A1, D1+D2, T4"
"66",66,"http://www.thehindubusinessline.com/2009/09/10/stories/2009091051861500.htm","GP, IA2, D2, IT2"
"67",67,"http://timesofindia.indiatimes.com/news/world/europe/Sarko-defies-public-outcrylevies-carbon-tax-to-fight-warming/articleshow/4996675.cms","GP, A1, D2, T8"
"68",68,"http://www.business-standard.com/india/news/indian-firms-prove-reluctant-to-trade-their-carbon-credits/369753/","BZ, IA2, D4+ID6, IT1"
"69",69,"http://www.thehindu.com/2009/09/11/stories/2009091155960900.htm","GP, A5, IT4"
"70",70,"http://www.thehindu.com/2009/09/11/stories/2009091155980900.htm","S, A6, T1"
"71",71,"http://www.hindustantimes.com/To-fight-warming-Maldives-plans-green-tax/H1-Article1-452745.aspx","GP, A2, D2, IT1"
"72",72,"http://www.livemint.com/2009/09/11234746/India-mulls-law-to-cap-emissio.html","GP, IA2, ID2, IT2"
"73",73,"http://www.livemint.com/2009/09/11215220/European-proposal-on-climate-f.html","GP, IA2, D2, IT9"
"74",74,"http://www.hindu.com/2009/09/12/stories/2009091261831500.htm","IP, IA2, ID2, IT2"
"75",75,"http://www.hindu.com/2009/09/12/stories/2009091261871600.htm","GP, IA2, D2+ID2, IT8"
"76",76,"http://www.financialexpress.com/news/agreement-on-environment-inked-with-denmark/516065/","GP, IA2, D2+ID2, IT6"
"77",77,"http://timesofindia.indiatimes.com/news/india/Now-law-to-tackle-greenhouse-gas-emissions/articleshow/5000497.cms","GP, IA2, ID2, IT8"
"78",78,"http://economictimes.indiatimes.com/articleshow/5001516.cms?flstry=1","GP, IA5, IT9"
"79",79,NA,"GP, IA2, ID2, IT2"
"80",80,"http://www.financialexpress.com/news/promising-outlook-for-india/516567/0","IP, IA2, ID6, IA4"
"81",81,"http://economictimes.indiatimes.com/News/Politics/Nation/India-volunteers-to-do-its-bit-on-climate-change/articleshow/5007545.cms","GP, IA2, ID2, IT2"
"82",82,"http://economictimes.indiatimes.com/articleshow/5012031.cms","GP, A6, T5"
"83",83,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=2&pagesize=&edid=&edlabel=CAP&mydateHid=16-09-2009&pubname=&edname=&publabel=TOI","IP, IA2, ID2, IT4"
"84",84,"http://timesofindia.indiatimes.com/opinion/edit-page/Comment-Green-Gaadi/articleshow/5015098.cms","IP, IA5, IT6"
"85",85,"http://www.hindustantimes.com/Local-warming/H1-Article1-454356.aspx","BZ, IA2, ID3+ID8,  IT1"
"86",86,"http://www.livemint.com/2009/09/15212441/Asian-carbon-markets-may-soon.html","BZ, IA2, D6, IT4"
"87",87,"http://www.hindu.com/2009/09/16/stories/2009091652010900.htm","GP, A6,  D2, T4"
"88",88,"http://www.financialexpress.com/news/supporting-adaptation-to-climate-change/517446/0","GP, IA2, D4, IT2"
"89",89,"http://www.hindustantimes.com/News/india/A-first-Children-to-be-part-of-India-s-climate-change-team/Article1-454727.aspx","BZ, IA2, ID2, IT6"
"90",90,"http://epaper.hindustantimes.com/ArticleText.aspx?article=17_09_2009_017_011&kword=&mode=1","GP, A6, T8"
"91",91,"http://www.indianexpress.com/news/change-on-climate-india-ready-to-quantify-cuts/518156/0","GP, IA2, ID2, IT8"
"92",92,"http://economictimes.indiatimes.com/news/politics/nation/Zoellick-repeats-Indias-stance-on-climate-change/articleshow/5020573.cms","GP, IA2, D4, IT2"
"93",93,"http://www.financialexpress.com/news/diverting-funds-for-climate-change-to-risk-children-in-poor-nations-oxfam/517888/0","GP, IA2, ID3, IT1"
"94",94,"http://www.livemint.com/2009/09/16213420/Talks-over-the-week-to-decide.html","GP, A1, D2+D3, T8"
"95",95,"http://www.thehindubusinessline.com/2009/09/17/stories/2009091752221500.htm","IP, IA2, ID2, IT6"
"96",96,"http://www.business-standard.com/india/news/we-ended-ozone-depleters-well-aheadschedule-jairam-ramesh/370360/","GP, IA2, ID2, IT4"
"97",97,"http://www.financialexpress.com/news/fe-editorial-mission-emission/518333/0","GP, IA5, IT1"
"98",98,"http://www.hindu.com/2009/09/18/stories/2009091857120500.htm","GP, IA2, D2, IT6"
"99",99,"http://www.livemint.com/2009/09/17205946/Rich-nations-insist-on-targets.html","GP, A1, D2+D3+D1, T8"
"100",100,"http://www.livemint.com/2009/09/17205530/Planning-for-emission-cuts.html?h=B","GP, IA5, IT9"
"101",101,"http://timesofindia.indiatimes.com/news/india/National-body-to-set-monitor-green-targets/articleshow/5028595.cms","GP, IA2, IT6"
"102",102,"http://livemint.com/2009/09/18233102/Gujarat-to-award-contracts-for.html?d=2","IP, A6, ID2, T6"
"103",103,"http://www.livemint.com/2009/09/18214750/US-Japan-seek-new-deal-India.html","GP, IA2, D2+ID2, IT8, "
"104",104,"http://economictimes.indiatimes.com/news/politics/nation/EU-summit-targets-India-China-on-G20-climate-financing/articleshow/5029192.cms","GP, A1, D2, T8"
"105",105,"http://timesofindia.indiatimes.com/news/environment/global-warming/West-urges-India-to-junk-Kyoto-pact/articleshow/5032433.cms","GP, IA2, ID2, IT9"
"106",106,"http://online.wsj.com/article/SB10001424052970204731804574386490490909498.html","GP, A6, T2"
"107",107,"http://online.wsj.com/article/SB10001424052970203440104574406673454653820.html","GP, A6, T2"
"108",108,"http://www.livemint.com/Articles/PrintArticle.aspx?artid=C174675E-A600-11DE-9BD5-000B5DABF613","GP, IA2, ID2+D2+ID5, IT8"
"109",109,"http://www.hindu.com/2009/09/21/stories/2009092157230900.htm","GP, A5, IT1"
"110",110,"http://www.financialexpress.com/news/column-tree-cheers-for-our-environment/519393/0","GP, IA4, IT8"
"111",111,"http://timesofindia.indiatimes.com/opinion/edit-page/Comment-Greening-Up/articleshow/5034358.cms","GP, IA4, IT4"
"112",112,"http://timesofindia.indiatimes.com/news/environment/global-warming/Benefit-of-downturn-CO-emissions-fall/articleshow/5040093.cms","GP, A1, D4, T6"
"113",113,"http://www.hindustantimes.com/Prime-Minister-it-s-time-to-act/H1-Article1-456469.aspx","BZ, IA5, IT1"
"114",114,"http://epaper.timesofindia.com/Default/Scripting/ArticleWin.asp?From=Archive&Source=Page&Skin=TOI&BaseHref=CAP/2009/09/22&PageLabel=21&EntityId=Ar02103&ViewMode=HTML&GZ=T","S, A1, T7"
"115",115,"http://www.financialexpress.com/news/arctic-sea-ice-on-record-thirdlowest-summer-level/519860/0","S, A1, T7"
"116",116,"http://www.financialexpress.com/news/13yrold-lucknow-girl-to-address-un-climate-summit/519861/","BZ, A1, ID8, T1"
"117",117,"http://economictimes.indiatimes.com/news/politics/nation/Emission-law-may-make-it-tough-for-negotiators/articleshow/5040419.cms","GP, IA2, ID2, IT8"
"118",118,"http://www.hindustantimes.com/india/First-Indian-teen-at-UN-climate-change-summit/457058/H1-Article1-457038.aspx","BZ, IA2, D8, IT4"
"119",119,"http://timesofindia.indiatimes.com/news/india/Avg-global-temp-up-just-001F-since-99/articleshow/5044846.cms","S, A6, D1, T1"
"120",120,"http://timesofindia.indiatimes.com/news/world/us/US-China-vow-steps-to-combat-warming/articleshow/5044559.cms","GP, A6, D2, T6"
"121",121,"http://www.indianexpress.com/news/india-ready-for-active-role-in-climate-pact/520472/","GP, A1, ID2, T2"
"122",122,"http://www.indianexpress.com/news/warming-up-for-copenhagen/520383/0","GP, IA2, IT6"
"123",123,"http://www.indianexpress.com/news/us-china-vow-action-on-climate-threat/520370/0","GP, A6, D2+D5, T1"
"124",124,"http://www.financialexpress.com/news/india-to-be-dealmaker-in-climate-pact-ramesh/520245/0","GP, A1, ID2+D5, IT8"
"125",125,"http://www.financialexpress.com/news/un-seeks-momentum-in-climate-talks-as-obama-hu-take-stage/520279/0","GP, A1, D2+D4+D3, T1"
"126",126,"http://www.livemint.com/2009/09/22215909/Obama-warns-of-tough-road-ahea.html","GP, A1, D2+D4, T1"
"127",127,"http://online.wsj.com/article/SB125358851830629937.html","GP, A6, T9"
"128",128,"http://beta.thehindu.com/news/national/article23605.ece?homepage=true","GP, A1, ID2, IT9"
"129",129,"http://www.hindu.com/2009/09/23/stories/2009092361900100.htm","GP, A1, D2+D4, T2"
"130",130,"http://www.thehindu.com/2009/09/23/stories/2009092360881000.htm","GP, A1, D2, T2"
"131",131,"http://www.business-standard.com/india/news/%5Cindia-planning-aggressive-cuts-in-emissions%5C/370992/","GP, IA1, ID2, IT2"
"132",132,"http://www.hindu.com/2009/09/23/stories/2009092360891000.htm","GP, A1, ID2, IT9"
"133",133,"http://www.hindu.com/2009/09/24/stories/2009092460331200.htm","GP, A1, ID2, IT2"
"134",134,"http://www.thehindu.com/2009/06/23/stories/2009062353970800.htm","GP, IA5, IT2"
"135",135,"http://www.livemint.com/2009/09/23215359/The-full-climate-change-tale.html","GP, IA5, IT4"
"136",136,"http://www.indianexpress.com/news/warming-up/520870/0","GP, IA5, IT4"
"137",137,"http://www.indianexpress.com/news/developed-nations-should-take-responsibility/520908/","GP, IA2, ID2, IT9"
"138",138,"http://www.indianexpress.com/news/ban-lauds-indias-approach/520910/","GP, A1, IT4"
"139",139,"http://www.indianexpress.com/news/can-learn-from-china-says-jairam/520914/0","GP, IA2, ID2+D2, IT2"
"140",140,"http://timesofindia.indiatimes.com/opinion/edit-page/Top-Article-The-Spence-Solution/articleshow/5047640.cms","GP, IA5, IT2"
"141",141,"http://economictimes.indiatimes.com/News/News-By-Industry/ET-Cetera/Mumbai-dump-gets-Rs-26cr-in-carbon/articleshow/5049362.cms","IP, IA2, ID2, IT4"
"142",142,"http://www.financialexpress.com/news/investors-business-leaders-lend-support-to-climate-treaty/520733/","BZ, IA2, D4, IT6"
"143",143,"http://www.hindu.com/2009/09/25/stories/2009092556041200.htm","GP, IA4, IT3"
"144",144,"http://timesofindia.indiatimes.com/opinion/edit-page/Comment-Climate-Of-Promises/articleshow/5052100.cms","GP, IA5, IT2"
"145",145,"http://beta.thehindu.com/opinion/op-ed/article24730.ece","GP, A6, T2"
"146",146,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=11&pagesize=&edid=&edlabel=ETD&mydateHid=26-09-2009&pubname=&edname=&publabel=ET","GP, IA4, IT2"
"147",147,"http://www.business-standard.com/india/news/g-20-notforum-to-negotiate-climate-change-issues-india/371350/","GP, IA2, ID2, IT2"
"148",148,"http://www.business-standard.com/india/news/t-n-ninan-warming-to-hope/371302/","GP, IA4, IT5"
"149",149,"http://in.news.yahoo.com/32/20090926/1051/twl-why-new-delhi-refused-to-change-the.html","GP, A2, ID2, IT9"
"150",150,"http://www.hindustantimes.com/India-to-give-annual-climate-report-to-UN/H1-Article1-458458.aspx","GP, IA2, ID2+ID5+ID3, IT9"
"151",151,"http://www.pressdisplay.com/pressdisplay/viewer.aspx","IP, IA2, ID2, IT2"
"152",152,"http://www.livemint.com/2009/09/27230727/Bangkok-may-smoothen-road-to-C.html","GP, IA2, D1+ID2, IT8"
"153",153,"http://www.financialexpress.com/news/column-fear-factor-in-global-negotiations/522113/0","GP, A5, IT5"
"154",154,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=3&pagesize=&edid=&edlabel=ETD&mydateHid=28-09-2009&pubname=&edname=&publabel=ET","IP, IA2, IT8"
"155",155,"http://www.business-standard.com/india/news/climate-change-talks-should-not-come-inwayfree-trade/74452/on","BZ, A1, D6, IT6"
"156",156,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=13&pagesize=&edid=&edlabel=ETD&mydateHid=29-09-2009&pubname=&edname=&publabel=ET","BZ, A1, D6, IT6"
"157",157,"http://www.thehindubusinessline.com/2009/09/29/stories/2009092950520600.htm","BZ, IA2, D3, IT4"
"158",158,"http://www.nytimes.com/2009/09/28/opinion/28krugman.html?_r=3","GP, A6, T9"
"159",159,"http://www.thehindubusinessline.com/2009/09/29/stories/2009092950890800.htm","BZ, IA2, ID6, IT6"
"160",160,"http://www.indianexpress.com/news/gandhigiri-in-copenhagen/522538/0","IP, IA5, IT4"
"161",161,"http://www.financialexpress.com/news/Talks-for-climate-treaty-start-in-Bangkok/522534/","GP, A1, D2+D4, T1"
"162",162,"http://www.financialexpress.com/news/Island-doomed-by-nature-could-be-biggest-mishap-in-coming-times/522540/","S, A1, D5+D1, T7"
"163",163,"http://www.hindustantimes.com/China-changing-climate-of-global-negotiations/H1-Article1-459065.aspx","GP, A2, D2+D4, IT8"
"164",164,"http://timesofindia.indiatimes.com/opinion/edit-page/Top-Article-When-Things-Hot-Up/articleshow/5065540.cms","GP, IA5, IT7"
"165",165,"http://timesofindia.indiatimes.com/news/environment/global-warming/Global-temp-to-rise-4-degree-celsius-by-50s/articleshow/5066186.cms","S, A1, D5, T7"
"166",166,"http://epaper.hindustantimes.com/ArticleText.aspx?article=30_09_2009_017_012&kword=&mode=1#top","GP, A6, T1"
"167",167,"http://www.thehindu.com/opinion/op-ed/article26706.ece?css=print","GP, A6, T1"
"168",168,"http://www.livemint.com/2009/09/29224747/I-want-to-position-India-as-a.html","GP, IA2, ID2, IT2"
"169",169,"http://timesofindia.indiatimes.com/news/environment/global-warming/India-led-effort-makes-US-bite-dust-on-climate/articleshow/5070284.cms","GP, IA2, ID2+D5, IT8"
"170",170,"http://www.indianexpress.com/news/climate-change-eu-pushes-legally-binding-cuts/523137/","GP, IA2, D2, IT8"
"171",171,"http://economictimes.indiatimes.com/News/Economy/Indicators/EU-wants-India-to-stick-to-CO2-reduction-target/articleshow/5070187.cms","GP, IA2, D2, IT2"
"172",172,"http://www.hindu.com/2009/09/30/stories/2009093055430900.htm","BZ, A6, D8, T10 "
"173",173,"http://beta.thehindu.com/news/national/article26658.ece","GP, IA2, ID2, IT3"
"174",174,"http://www.hindu.com/2009/09/30/stories/2009093060291000.htm","GP, IA2, D2, IT2"
"175",175,"http://www.financialexpress.com/news/India-China-should-share-climate-change-adaption-expenditure-EU/522952/","GP, IA2, D2, IT8"
"176",176,"http://www.financialexpress.com/news/Research-based-on-Himalayan-ecosystem-is-inadequate-Ramesh/522954/","IP, IA2, ID2, IT6"
"177",177,"http://www.financialexpress.com/news/nations-divided-over-climate-solutions/522971/0","GP, A1, D4, T9"
"178",178,"http://www.thehindu.com/2009/10/01/stories/2009100155971100.htm","GP, A6, D2+D8, T1"
"179",179,"http://www.financialexpress.com/news/7bn-extra-funding-to-help-farmers-tackle-climate-change-says-food-research-body/523381/0","IP, IA2, D5, IT1"
"180",180,"http://www.thehindubusinessline.com/2009/10/01/stories/2009100150370900.htm","IA5, BZ, IT9"
"181",181,"http://timesofindia.indiatimes.com/news/environment/global-warming/EU-backs-US-bid-to-corner-India-at-climate-talks/articleshow/5082158.cms","GP, IA2, IT9"
"182",182,"http://www.pressdisplay.com/pressdisplay/viewer.aspx","S, A1, D1, T6, "
"183",183,"http://www.livemint.com/2009/10/02214524/India-may-have-room-to-raise-e.html?h=B","GP, IA2, D3+ID3, IT6"
"184",184,"http://www.business-standard.com/india/storypage.php?autono=372030","S, IA2, D5, IT1"
"185",185,"http://www.financialexpress.com/news/climate-talks-stuck-in-finance-logjam-un/524320/","GP, A1, D4, T9"
"186",186,"http://economictimes.indiatimes.com/Politics/Nation/India-other-developing-nations-resist-binding-emission-norms/articleshow/5082387.cms","GP, IA2, D2, IT9"
"187",187,"http://epaper.timesofindia.com/Default/Layout/Includes/ET/ArtWin.asp?From=Archive&Source=Page&Skin=ET&BaseHref=ETD%2F2009%2F10%2F03&ViewMode=HTML&GZ=T&PageLabel=7&EntityId=Ar00703&AppName=1","GP, IA2, D2, IT9"
"188",188,"http://www.financialexpress.com/news/biggest-california-forest-owner-enters-carbon-trade/523968/","BZ, A1, D6, T6"
"189",189,"http://m.economictimes.com/PDAET/articleshow/5079489.cms","GP, IA2, ID2, IT8"
"190",190,"http://www.livemint.com/2009/10/01230904/Farm-yield-may-fall-in-South-A.html","S, IA2, D5, IT7 "
"191",191,"http://epaper.financialexpress.com/FE/FE/2009/10/04/INDEX.SHTML","IP, IA5, IT1"
"192",192,"http://epaper.financialexpress.com/FE/FE/2009/10/04/ArticleHtmls/04_10_2009_011_005.shtml?Mode=1","GP, IA1, ID2, IT4"
"193",193,"http://www.hindustantimes.com/rssfeed/newdelhi/India-offers-to-discuss-climate-with-US-and-Europe/Article1-460991.aspx","GP, IA2, ID2, IT9"
"194",194,"http://www.thehindubusinessline.in/2009/10/04/stories/2009100450940300.htm","GP, IA2, ID2, IT6"
"195",195,"http://www.livemint.com/2009/10/04212244/India-climate-change-and-its.html?h=B","GP, IA4, ID2, IT4 "
"196",196,NA,"S, IA1, ID1+D4, IT7"
"197",197,"http://www.hindu.com/2009/10/05/stories/2009100552580900.htm","S, A6, D1, T7"
"198",198,"http://www.financialexpress.com/news/giving-renewable-energy-a-thrust/524888/0","IP, IA2, ID6, IT4"
"199",199,"http://www.financialexpress.com/news/climate-change-hits-poor-countries-hard-world-bank/524947/","GP, A1, D4+D5, T7"
"200",200,"http://economictimes.indiatimes.com/news/politics/nation/Impasse-over-emission-may-continue/articleshow/5088440.cms","GP, IA2, D4+ID2, IT8"
"201",201,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=12&pagesize=&edid=&edlabel=CAP&mydateHid=06-10-2009&pubname=&edname=&publabel=TOI","GP, IA2, IT9"
"202",202,"http://www.livemint.com/2009/10/05213117/In-climate-change-policies-US.html?h=B","GP, IA2, D5, ITI"
"203",203,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=12&pagesize=&edid=&edlabel=ETD&mydateHid=06-10-2009&pubname=&edname=&publabel=ET","GP, A5, IT9"
"204",204,"http://epaper.hindustantimes.com/ArticleText.aspx?article=06_10_2009_017_008&kword=&mode=1","GP, IA5, D2, IT3"
"205",205,"http://www.hindu.com/2009/10/07/stories/2009100751770900.htm","GP, A6, D6, T1"
"206",206,"http://www.hindustantimes.com/Financial-crisis-had-positive-impact-on-climate-change-IAEA/H1-Article1-462013.aspx","GP, IA5, D4, IT6"
"207",207,"http://www.hindustantimes.com/rssfeed/restofasia/India-opposes-efforts-to-put-Kyoto-Protocol-aside/Article1-462472.aspx","GP, IA5, ID2, IT3 "
"208",208,"http://www.financialexpress.com/news/US-economy-can-worsen-climate-bill-prospects/526339/","GP, A1, D2, T1"
"209",209,"http://www.thehindubusinessline.com/2009/10/08/stories/2009100850760800.htm","GP, IA5, IT9"
"210",210,"http://www.hindu.com/2009/10/08/stories/2009100853851200.htm","IP, IA2, ID2, IT1"
"211",211,"http://www.nytimes.com/2009/10/07/opinion/07friedman.html?_r=1","S, A6, D1, TI"
"212",212,"http://beta.thehindu.com/news/article31052.ece","GP, IA2, ID2, IT9"
"213",213,"http://timesofindia.indiatimes.com/india/West-cherry-picks-Kyoto-OK-with-carbon-credits/articleshow/5103402.cms","GP, IA2, IT3"
"214",214,"http://www.livemint.com/2009/10/08211830/Climate-change-let8217s-ge.html?h=B","IP, IA5, IT2"
"215",215,"http://economictimes.indiatimes.com/articleshow/5104317.cms?flstry=1","GP, IA5, IT3"
"216",216,"http://economictimes.indiatimes.com/articleshow/5108025.cms?flstry=1","GP, IA2, D2, IT2"
"217",217,"http://timesofindia.indiatimes.com/india/On-Obamas-Nobel-day-US-faces-climate-heat/articleshow/5108020.cms","GP, IA2, ID2, IT9"
"218",218,"http://www.financialexpress.com/news/white-house-hires-more-experts-to-push-its-green-agenda/527260/0","GP, A1, D2, T6"
"219",219,"http://www.hindustantimes.com/India-a-climate-change-deal-maker-Jairam/H1-Article1-463731.aspx","GP, IA2, ID2, IT2"
"220",220,"http://www.hindustantimes.com/Climate-change-US-wish-list-for-India/H1-Article1-463778.aspx","GP, IA5, D2, IT8"
"221",221,"http://www.indianexpress.com/news/how-long-has-climate-change-been-around/527566/0","S, A6, D1, T2"
